"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=1231"">Iron Lung</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=29"" title=""Pathfinder #153: Life's Long Shadow"">Pathfinder #153</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=1227"">Golem Grafter Dedication</u></a>","Your lungs are infused with the resilience of iron.","—"
"<u><a href=""Feats.aspx?ID=473"">Ironblood Surge</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=112"">Monk</a></u>","14","<u><a href=""Feats.aspx?ID=459"">Ironblood Stance</u></a>","You steel yourself, preparing to resist oncoming attacks and using your muscles to absorb the impact.","—"
"<u><a href=""Feats.aspx?ID=589"">Leave an Opening</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=139"">Rogue</a></u>","14","&mdash;","When you hit hard enough, you leave an opening so your ally can jump in on the action.","—"
"<u><a href=""Feats.aspx?ID=1689"">Litany of Depravity</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=24"">Champion</a></u>","14","<a style=""text-decoration:underline"" href=""Tenets.aspx?ID=2"">tenets of evil</a>","You undercut your enemy's vain moralism, opening their heart to evil.","—"
"<u><a href=""Feats.aspx?ID=254"">Litany of Righteousness</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=24"">Champion</a></u>","14","<a style=""text-decoration:underline"" href=""Tenets.aspx?ID=1"">tenets of good</a>","You call upon righteousness to expose an evil foe’s weakness.","—"
"<u><a href=""Feats.aspx?ID=474"">Mountain Quake</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=112"">Monk</a></u>","14","<u><a href=""Feats.aspx?ID=453"">Mountain Stronghold</u></a>","You stomp, shaking the earth beneath you and causing quakes.","—"
"<u><a href=""Feats.aspx?ID=2214"">Murderer's Circle</a></u>","—","<u><a href=""Sources.aspx?ID=48"" title=""Pathfinder #159: All or Nothing"">Pathfinder #159</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=2211"">Provocator Dedication</u></a>","Circle your foe while you beat on them.","—"
"<u><a href=""Feats.aspx?ID=1504"">Mysterious Repertoire</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=319"">Oracle</a></u>","14","&mdash;","Your mystery holds unknowable depths of magic not always associated with the divine.","—"
"<u><a href=""Feats.aspx?ID=2021"">Path of Iron</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=73"">Flourish</a></u>","14","<u><a href=""Feats.aspx?ID=2018"">Martial Artist Dedication</u></a>","With a burst of effort, you weave a path through your enemies, striking each in turn as you move past them.","—"
"<u><a href=""Feats.aspx?ID=2192"">Peculiar Anatomy</a></u>","—","<u><a href=""Sources.aspx?ID=41"" title=""The Slithering"">The Slithering</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=2186"">Disturbing Defense</u></a>","Your circulatory system contains viscous protoplasmic fluid instead of ordinary blood.","—"
"<u><a href=""Feats.aspx?ID=1552"">Perfect Finisher</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=322"">Finisher</a></u>, <u><a href=""Traits.aspx?ID=76"">Fortune</a></u>, <u><a href=""Traits.aspx?ID=321"">Swashbuckler</a></u>","14","&mdash;","You focus your panache into an impeccable assault.","—"
"<u><a href=""Feats.aspx?ID=2215"">Pin to the Spot</a></u>","—","<u><a href=""Sources.aspx?ID=48"" title=""Pathfinder #159: All or Nothing"">Pathfinder #159</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=2211"">Provocator Dedication</u></a>","Strike a foe and restrain them.","—"
"<u><a href=""Feats.aspx?ID=1198"">Pivot Strike</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=21"" title=""Pathfinder #151: The Show Must Go On"">Pathfinder #151</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=15"">Attack</a></u>, <u><a href=""Traits.aspx?ID=123"">Open</a></u>","14","<u><a href=""Feats.aspx?ID=1193"">Staff Acrobat Dedication</u></a>","You Leap and then Strike using your staff.","Extinction Curse"
"<u><a href=""Feats.aspx?ID=1473"">Plot the Future</a></u>","<img alt=""PFS Restricted"" title=""PFS Restricted"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Restricted.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=318"">Investigator</a></u>, <u><a href=""Traits.aspx?ID=132"">Prediction</a></u>","14","&mdash;","You spend 10 minutes in contemplation to uncannily predict how events will play out.","—"
"<u><a href=""Feats.aspx?ID=2164"">Prayer Attack</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=40"" title=""Legends"">Legends</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>","14","<u><a href=""Feats.aspx?ID=895"">Red Mantis Assassin Dedication</u></a>","You've mastered the signature assassination style of the Red Mantis.","—"
"<u><a href=""Feats.aspx?ID=1707"">Premonition of Clarity</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=26"">Cleric</a></u>, <u><a href=""Traits.aspx?ID=76"">Fortune</a></u>","14","&mdash;","Your deity sends you a vision of faith to steel you against mental attacks.","—"
"<u><a href=""Feats.aspx?ID=2879"">Preternatural Parry</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=389"">Magus</a></u>","14","<u><a href=""Feats.aspx?ID=2851"">Spell Parry</u></a>","You snap your weapon or limb into place to ward off harm at the last second.","—"
"<u><a href=""Feats.aspx?ID=1718"">Reactive Transformation</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=52"">Druid</a></u>","14","<u><a href=""Feats.aspx?ID=316"">Wild Shape</u></a>; <u><a href=""Feats.aspx?ID=340"">Dragon Shape</u></a>, <u><a href=""Feats.aspx?ID=335"">Elemental Shape</u></a>, <u><a href=""Feats.aspx?ID=338"">Plant Shape</u></a>, or <u><a href=""Feats.aspx?ID=333"">Soaring Shape</u></a>","You transform reflexively when in danger.","—"
"<u><a href=""Feats.aspx?ID=624"">Reflect Spell</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=148"">Sorcerer</a></u>, <u><a href=""Traits.aspx?ID=323"">Witch</a></u>, <u><a href=""Traits.aspx?ID=166"">Wizard</a></u>","14","<u><a href=""Feats.aspx?ID=633"">Counterspell</u></a>","You cause a spell to fire back at its caster.","—"
"<u><a href=""Feats.aspx?ID=2934"">Resilient Shell</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=394"">Evolution</a></u>, <u><a href=""Traits.aspx?ID=392"">Summoner</a></u>","14","&mdash;","Your eidolon is resilient against attacks.","—"
"<u><a href=""Feats.aspx?ID=1585"">Rites of Transfiguration</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=323"">Witch</a></u>","14","&mdash;","You can adapt your patron's power to transform other creatures into forms more befitting their behavior or your whims.","—"
"<u><a href=""Feats.aspx?ID=1966"">Seeker Arrow</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=47"">Divination</a></u>, <u><a href=""Traits.aspx?ID=103"">Magical</a></u>","14","<u><a href=""Feats.aspx?ID=1960"">Eldritch Archer Dedication</u></a>","Your shots zip around corners and fly at impossible angles to reach your target.","—"
"<u><a href=""Feats.aspx?ID=530"">Sense the Unseen</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=318"">Investigator</a></u>, <u><a href=""Traits.aspx?ID=136"">Ranger</a></u>, <u><a href=""Traits.aspx?ID=139"">Rogue</a></u>","14","&mdash;","When you look for foes, you can catch even the slightest cues.","—"
"<u><a href=""Feats.aspx?ID=2072"">Shadow Power</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=2069"">Shadow Magic</u></a>","You can focus the shadows into a powerful blast.","—"
"<u><a href=""Feats.aspx?ID=1754"">Shadow's Web</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=112"">Monk</a></u>","14","ki spells","You launch a wave of shadowy ki outward from your body, damaging your opponents and potentially binding them in place.","—"
"<u><a href=""Feats.aspx?ID=1947"">Shape of the Dragon</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=1940"">Dragon Disciple Dedication</u></a>","You've discovered how to transform yourself into a dragon.","—"
"<u><a href=""Feats.aspx?ID=2935"">Share Eidolon Magic</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=392"">Summoner</a></u>","14","<u><a href=""Feats.aspx?ID=2896"">Magical Understudy</u></a>","Your eidolon shares innate spells with you.","—"
"<u><a href=""Feats.aspx?ID=531"">Shared Prey</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=136"">Ranger</a></u>","14","<u><a href=""Feats.aspx?ID=526"">Double Prey</u></a>; <u><a href=""Feats.aspx?ID=518"">Warden's Boon</u></a>","Hunting as a duo, you and your ally both single out your prey.","—"
"<u><a href=""Feats.aspx?ID=2731"">Shift Spell</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=86"" title=""Pathfinder #167: Ready? Fight!"">Pathfinder #167</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=166"">Wizard</a></u>","14","&mdash;","You move an active spell's area to a new location.","<u><a href=""Setting.aspx?Group=7"">Fists of the Ruby Phoenix</a></u>"
"<u><a href=""Feats.aspx?ID=3003"">Shifting Terrain</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=2998"">Rough Terrain Stance</u></a>; master in <u><a href=""Skills.aspx?ID=10"">Nature</u></a>","You slam your fist into the ground or twirl your arms about to cause the terrain around you to shift and ripple, potentially throwing others off balance.","—"
"<u><a href=""Feats.aspx?ID=2960"">Signature Synergy</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=2956"">Advanced Synergy</u></a>","Your eidolon gains an evolution integral to its form, and it comes more easily than your other synergies.","—"
"<u><a href=""Feats.aspx?ID=204"">Soothing Ballad</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=19"">Bard</a></u>","14","&mdash;","You soothe your allies’ wounds with the power of your performance.","—"
"<u><a href=""Feats.aspx?ID=1719"">Sow Spell</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=52"">Druid</a></u>, <u><a href=""Traits.aspx?ID=107"">Metamagic</a></u>","14","&mdash;","You fold your spell into a seed.","—"
"<u><a href=""Feats.aspx?ID=1908"">Specialized Beastmaster Companion</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=1905"">Incredible Beastmaster's Companion</u></a>","Your nimble and savage animal companions become cunning enough to become specialized.","—"
"<u><a href=""Feats.aspx?ID=344"">Specialized Companion (Druid)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=52"">Druid</a></u>","14","<u><a href=""Feats.aspx?ID=332"">Incredible Companion (Druid)</u></a>","Your animal companion continues to grow in power and ability, and it is now cunning enough to become specialized.","—"
"<u><a href=""Feats.aspx?ID=1929"">Specialized Mount</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=1926"">Incredible Mount</u></a>","You've trained your mount to perform in unusual or even extreme circumstances, granting it abilities far beyond others of its kind.","—"
"<u><a href=""Feats.aspx?ID=2046"">Speedy Rituals</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=2044"">Efficient Rituals</u></a>","You can perform rituals in only a fraction of the usual time.","—"
"<u><a href=""Feats.aspx?ID=1828"">Spell Shroud</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=107"">Metamagic</a></u>, <u><a href=""Traits.aspx?ID=148"">Sorcerer</a></u>","14","&mdash;","Your spell shrouds you in a billowing cloud.","—"
"<u><a href=""Feats.aspx?ID=2246"">Spellmaster's Tenacity</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=50"" title=""PFS Guide"">PFS Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=1137"">Spellmaster's Resilience</u></a>","You call upon the power of your spells to protect you from the worst of the magic headed your way.","—"
"<u><a href=""Feats.aspx?ID=2936"">Spell-Repelling Form</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=96"" title=""Secrets of Magic"">Secrets of Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=394"">Evolution</a></u>, <u><a href=""Traits.aspx?ID=392"">Summoner</a></u>","14","&mdash;","Your eidolon evolves to protect itself from the danger posed by spells.","—"
"<u><a href=""Feats.aspx?ID=419"">Stance Savant (Fighter)</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=71"">Fighter</a></u>","14","&mdash;","When there’s imminent danger, you drop into a stance with a mere thought.","—"
"<u><a href=""Feats.aspx?ID=1806"">Stay Down!</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=139"">Rogue</a></u>","14","master in <u><a href=""Skills.aspx?ID=3"">Athletics</u></a>","You have ways of keeping your foes down.","—"
"<u><a href=""Feats.aspx?ID=532"">Stealthy Companion</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=136"">Ranger</a></u>","14","<u><a href=""Feats.aspx?ID=311"">Animal Companion</u></a>; <u><a href=""Feats.aspx?ID=519"">Camouflage</u></a>","You’ve trained your animal companion to blend in to its surroundings.","—"
"<u><a href=""Feats.aspx?ID=894"">Stone Communion</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=6"" title=""World Guide"">World Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>","14","<u><a href=""Feats.aspx?ID=889"">Ka Stone Ritual</u></a>","You can speak Terran and speak with stones.","—"
"<u><a href=""Feats.aspx?ID=1475"">Strategic Bypass</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=318"">Investigator</a></u>","14","&mdash;","Your plans account for your foes' resistances, enabling you to strike a telling blow.","—"
"<u><a href=""Feats.aspx?ID=1627"">Sunder Enchantment</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=18"">Barbarian</a></u>","14","<u><a href=""Feats.aspx?ID=1624"">Sunder Spell</u></a>","You can focus your superstition to break the magic of an item, in addition to destroying freestanding spells and those active on creatures.","—"
"<u><a href=""Feats.aspx?ID=657"">Superior Bond</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=166"">Wizard</a></u>","14","<a style=""text-decoration:underline"" href=""Classes.aspx?ID=12"">arcane bond</a>","When you draw upon your bonded item, you can leave a bit of energy within it for later use.","—"
