"Name","Family","Source","Rarity","Size","Type","Traits","Level","Spoilers?"
"<u><a href=""Monsters.aspx?ID=799"">Aapoph Serpentfolk</a></u>","<u><a href=""MonsterFamilies.aspx?ID=151"">Serpentfolk</a></u>","<u><a href=""Sources.aspx?ID=32"" title=""Bestiary 2"">Bestiary 2</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=229"">Mutant</a></u>, <u><a href=""Traits.aspx?ID=307"">Serpentfolk</a></u>","3","—"
"<u><a href=""Monsters.aspx?ID=333"">Aasimar Redeemer</a></u>","<u><a href=""MonsterFamilies.aspx?ID=81"">Planar Scion</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=256"">Aasimar</a></u>, <u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","5","—"
"<u><a href=""Monsters.aspx?ID=1033"">Abandoned Zealot</a></u>","—","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=149"">Spirit</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=222"">Incorporeal</a></u>, <u><a href=""Traits.aspx?ID=149"">Spirit</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","6","—"
"<u><a href=""NPCs.aspx?ID=1515"">Abbot Tsujon</a></u>","—","<u><a href=""Sources.aspx?ID=87"" title=""Pathfinder #168: King of the Mountain"">Pathfinder #168</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>, <u><a href=""Traits.aspx?ID=362"">Samsaran</a></u>","18","Pathfinder #168: King of the Mountain"
"<u><a href=""Monsters.aspx?ID=1110"">Abrikandilu</a></u>","<u><a href=""MonsterFamilies.aspx?ID=28"">Demon</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","<u><a href=""Traits.aspx?ID=42"">Demon</a></u>, <u><a href=""Traits.aspx?ID=70"">Fiend</a></u>","4","—"
"<u><a href=""Monsters.aspx?ID=1568"">Accursed Forge-Spurned</a></u>","—","<u><a href=""Sources.aspx?ID=13"" title=""Pathfinder #148: Fires of the Haunted City"">Pathfinder #148</a></u>","<u><a href=""Traits.aspx?ID=161"">Unique</a></u>","Large","<u><a href=""Traits.aspx?ID=160"">Undead</a></u>","<u><a href=""Traits.aspx?ID=72"">Fire</a></u>, <u><a href=""Traits.aspx?ID=160"">Undead</a></u>","15","Pathfinder #148: Fires of the Haunted City"
"<u><a href=""NPCs.aspx?ID=893"">Acolyte of Nethys</a></u>","<u><a href=""MonsterFamilies.aspx?ID=183"">Devotees</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","1","—"
"<u><a href=""NPCs.aspx?ID=940"">Acrobat</a></u>","<u><a href=""MonsterFamilies.aspx?ID=193"">Performers</a></u>","<u><a href=""Sources.aspx?ID=22"" title=""Gamemastery Guide"">Gamemastery Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","Medium","<u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","<u><a href=""Traits.aspx?ID=90"">Human</a></u>, <u><a href=""Traits.aspx?ID=91"">Humanoid</a></u>","2","—"
"<u><a href=""Monsters.aspx?ID=1149"">Adachros</a></u>","<u><a href=""MonsterFamilies.aspx?ID=233"">Ennosite</a></u>","<u><a href=""Sources.aspx?ID=66"" title=""Bestiary 3"">Bestiary 3</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","Large","<u><a href=""Traits.aspx?ID=14"">Astral</a></u>","<u><a href=""Traits.aspx?ID=14"">Astral</a></u>","13","—"
"<u><a href=""Monsters.aspx?ID=243"">Adamantine Golem</a></u>","<u><a href=""MonsterFamilies.aspx?ID=57"">Golem</a></u>","<u><a href=""Sources.aspx?ID=2"" title=""Bestiary"">Bestiary</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","Huge","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>","<u><a href=""Traits.aspx?ID=35"">Construct</a></u>, <u><a href=""Traits.aspx?ID=220"">Golem</a></u>, <u><a href=""Traits.aspx?ID=108"">Mindless</a></u>","18","—"
